Principal component analysis
4
X1
X2
X3
X4
11
 8.79000000E+01  1.96000000E+01  1.00000000E+00  1.66100000E+03 
 8.99000000E+01  1.52000000E+01  9.01000000E+01  9.68000000E+02 
 1.53000000E+02  1.97000000E+01  5.66000000E+01  1.35300000E+03 
 1.32100000E+02  1.70000000E+01  9.10000000E+01  1.29300000E+03 
 8.88000000E+01  1.83000000E+01  9.37000000E+01  1.15300000E+03 
 2.20900000E+02  1.78000000E+01  1.06900000E+02  1.28600000E+03 
 1.17700000E+02  1.78000000E+01  6.55000000E+01  1.10400000E+03 
 1.09000000E+02  1.83000000E+01  4.18000000E+01  1.57400000E+03 
 1.56100000E+02  1.78000000E+01  5.74000000E+01  1.22200000E+03 
 1.81500000E+02  1.68000000E+01  1.40600000E+02  9.02000000E+02 
 1.81400000E+02  1.70000000E+01  7.43000000E+01  1.15000000E+03 
